word,pyleetspeak,minedLeet,BestMatches,correct
longoria,l0ng0r1@,['l0ng0r1@'],lOngOrIA,yes
thunderbolts,th_nd3rb0lts,['th_nd3rb0lts'],thAndErbOlts,no
stryker,stryk3r,['stryk3r'],strykEr,yes
steverankin,stever4nk1n,['stever4nk1n'],steverAnkIn,yes
uremia,_r3m1a,['_r3m1a'],ArEmIa,no
wipo,w1po,['w1po'],wipe,no
linuxfest,l1n_xf3st,['l1n_xf3st'],lInAxfEst,no
congoleum,c0ng0l3_m,['c0ng0l3_m'],cOngOlEAm,no
perko,perk0,['perk0'],perkS,no
inputstream,1np_tstr3@m,['1np_tstr3@m'],InpAtstrEAm,no
lstc,lstc,[],,
msir,ms1r,['ms1r'],sir,no
snails,sn@1ls,['sn@1ls'],snAIls,yes
lindros,l1ndr0s,['l1ndr0s'],lIndrOs,yes
ilman,1lm4n,['1lm4n'],IlmAn,yes
rocque,r0cq_3,['r0cq_3'],rOcqAE,no
nebe,n3b3,['n3b3'],nAbS,no
iakovos,14kovos,['14kovos'],IAkovos,yes
nitrile,n1tr1l3,['n1tr1l3'],nItrIlE,yes
arnott,4rn0tt,['4rn0tt'],ArnOtt,yes
openbios,0penb10s,['0penb10s'],OpenbIOs,yes
lowcountry,l0wc0untry,['l0wc0untry'],lOwcOuntry,yes
rightmark,rightmark,[],,
billiard,b1ll1@rd,['b1ll1@rd'],bIllIArd,yes
crystalized,cryst@l1z3d,['cryst@l1z3d'],crystAlIzEd,yes
kichi,k1ch1,['k1ch1'],kIchI,yes
wtf,wtf,[],,
unspoilt,_nsp01lt,['_nsp01lt'],AnspOIlt,no
hfcc,hfcc,[],,
hip,h1p,['h1p'],hIp,yes
adilabad,@d1lab4d,['@d1lab4d'],AdIlabAd,yes
minimed,minim3d,['minim3d'],minimal,no
bca,bc@,['bc@'],bra,no
paramname,paramname,[],,
specializations,sp3c1@liz4t1ons,['sp3c1@liz4t1ons'],spEcIAlizAtIons,yes
hugest,h_g3st,['h_g3st'],hugest,yes
ovenware,0v3nw@r3,['0v3nw@r3'],OvEnwArE,yes
uct,_ct,['_ct'],Act,no
dryvit,dryv1t,['dryv1t'],dryvIt,yes
ftnlen,ftnlen,[],,
frankville,fr@nkv1lle,['fr@nkv1lle'],frAnkvIlle,yes
amlapuram,aml@p_r@m,['aml@p_r@m'],amlApArAm,no
theophilus,th30ph1l_s,['th30ph1l_s'],thEOphIlAs,no
alleged,4ll3g3d,['4ll3g3d'],AllEgEd,yes
totalcalendar,t0t@lc@l3ndar,['t0t@lc@l3ndar'],tOtAlcAlEndar,yes
sweetney,sweetney,[],,
twcc,twcc,[],,
cochise,coch1se,['coch1se'],cochIse,yes
graveland,gr@v3l4nd,['gr@v3l4nd'],grAvElAnd,yes
margarite,m4rg4r1t3,['m4rg4r1t3'],mArgArItE,yes
postmortem,postmortem,[],,
campagna,c4mpagn@,['c4mpagn@'],cAmpagnA,yes
azadeh,azad3h,['azad3h'],azadEh,yes
diseconomies,d1s3c0n0m13s,['d1s3c0n0m13s'],dIsEcOnOmIEs,yes
warn,w4rn,['w4rn'],wArn,yes
celebrite,cel3br1t3,['cel3br1t3'],celEbrItE,yes
tactic,t@ct1c,['t@ct1c'],tActIc,yes
gokudo,gokudo,[],,
erfaringer,3rfar1ng3r,['3rfar1ng3r'],ErfarIngEr,yes
plasmatics,pl4sm@t1cs,['pl4sm@t1cs'],plAsmAtIcs,yes
mckain,mck41n,['mck41n'],mckAIn,yes
txtworkcountry,txtw0rkc0_ntry,['txtw0rkc0_ntry'],txtwOrkcOAntry,no
fintermine,f1nt3rm1n3,['f1nt3rm1n3'],fIntErmInE,yes
otorgo,otorgo,[],,
roblems,r0bl3ms,['r0bl3ms'],rOblEms,yes
cottonelle,c0tt0n3ll3,['c0tt0n3ll3'],cOttOnEllE,yes
sobel,s0b3l,['s0b3l'],sigil,no
renardus,r3n4rd_s,['r3n4rd_s'],rEnArdAs,no
daibetes,d@1betes,['d@1betes'],dIAbetes,no
fenderson,f3nd3rson,['f3nd3rson'],fEndErson,yes
aurangabad,4ur4ngab4d,['4ur4ngab4d'],AurAngabAd,yes
berclair,bercl41r,['bercl41r'],berclAIr,yes
thrus,thr_s,['thr_s'],three,no
czs,czs,[],,
shutts,sh_tts,['sh_tts'],shafts,no
bzq,bzq,[],,
ejemplo,3j3mpl0,['3j3mpl0'],EjEmplO,yes
irdeto,1rdeto,['1rdeto'],orderto,no
angelwings,ang3lwings,['ang3lwings'],angElwings,yes
personas,p3rs0n4s,['p3rs0n4s'],pErsOnAs,yes
pecos,p3c0s,['p3c0s'],pAcEs,no
nuray,n_r@y,['n_r@y'],nErDy,no
basics,b@s1cs,['b@s1cs'],bAsIcs,yes
affil,@ffil,['@ffil'],affix,no
emiliano,em1l1@no,['em1l1@no'],emIlIAno,yes
hospitales,h0sp1t4l3s,['h0sp1t4l3s'],hOspItAlEs,yes
propellerhead,prop3ll3rhead,['prop3ll3rhead'],propEllErhead,yes
sandpaper,s4ndp4p3r,['s4ndp4p3r'],sAndpApEr,yes
elvgren,3lvgr3n,['3lvgr3n'],ElvgrEn,yes
vanderford,v@nd3rford,['v@nd3rford'],vAndErford,yes
chevrolets,chevr0lets,['chevr0lets'],chevrolet,no
sigler,s1gl3r,['s1gl3r'],sIglEr,yes
storedesign,st0redes1gn,['st0redes1gn'],stOredesIgn,yes
megrisoft,m3gr1s0ft,['m3gr1s0ft'],mEgrIsOft,yes
pandalus,p@nd@l_s,['p@nd@l_s'],pAndAlAs,no
brohm,br0hm,['br0hm'],broom,no
modssl,m0dssl,['m0dssl'],mOdssl,yes
elkie,3lk13,['3lk13'],ElkIE,yes
sdocbook,sd0cb0ok,['sd0cb0ok'],sdOcbOok,yes
essense,3ssens3,['3ssens3'],EssensE,yes
amrediad,@mr3d1@d,['@mr3d1@d'],AmrEdIAd,yes
microl,m1cr0l,['m1cr0l'],mIcrOl,yes
jobspart,j0bsp@rt,['j0bsp@rt'],jObspArt,yes
navfac,n4vf@c,['n4vf@c'],nAvfAc,yes
currence,c_rr3nc3,['c_rr3nc3'],cArrEncE,no
podchraoladh,p0dchr40l@dh,['p0dchr40l@dh'],pOdchrAOlAdh,yes
kalofer,k4l0fer,['k4l0fer'],kAlOfer,yes
adax,4d@x,['4d@x'],dex,no
upstate,_pst@t3,['_pst@t3'],ApstAtE,no
militia,m1lit14,['m1lit14'],mIlitIA,yes
upsidecontract,_ps1d3contract,['_ps1d3contract'],ApsIdEcontract,no
botanic,b0t4nic,['b0t4nic'],bOtAnic,yes
gempler,gempler,[],,
picq,p1cq,['p1cq'],pick,no
ethylamine,3thyl4m1n3,['3thyl4m1n3'],EthylAmInE,yes
arundel,ar_ndel,['ar_ndel'],arAndel,no
atttbi,atttbi,[],,
brossman,br0ssm@n,['br0ssm@n'],brOssmAn,yes
aalesund,4@les_nd,['4@les_nd'],AAlesAnd,no
gratiscam,gr@t1sc4m,['gr@t1sc4m'],grAtIscAm,yes
mussorgsky,m_ss0rgsky,['m_ss0rgsky'],mAssOrgsky,no
mariam,m4r1@m,['m4r1@m'],mArIAm,yes
markos,m@rk0s,['m@rk0s'],mArkUs,no
innreport,1nnr3p0rt,['1nnr3p0rt'],InnrEpOrt,yes
mightypete,m1ghtyp3t3,['m1ghtyp3t3'],mIghtypEtE,yes
balaklava,balaklava,[],,
disdain,d1sd@1n,['d1sd@1n'],dIsdAIn,yes
burgeson,burg3s0n,['burg3s0n'],burgEsOn,yes
ligation,l1g4t10n,['l1g4t10n'],lIgAtIOn,yes
minf,m1nf,['m1nf'],mind,no
czfeeds,czfeeds,[],,
poodles,poodles,[],,
rutilus,r_t1l_s,['r_t1l_s'],rAtIlAs,no
nycguide,nycguid3,['nycguid3'],nycguidE,yes
cowsills,c0ws1lls,['c0ws1lls'],cOwsIlls,yes
fonzi,f0nz1,['f0nz1'],fOnzI,yes
woonplaats,w00npl@4ts,['w00npl@4ts'],wOOnplAAts,yes
sunrooms,s_nrooms,['s_nrooms'],shrooms,no
pantai,p@nt41,['p@nt41'],pAntAI,yes
viread,v1r3@d,['v1r3@d'],vIrEAd,yes
rajagopal,raj@g0p@l,['raj@g0p@l'],rajAgOpAl,yes
reorganization,r3org4n1z4t1on,['r3org4n1z4t1on'],rEorgAnIzAtIon,yes
quotse,qu0tse,['qu0tse'],quote,no
expelled,expelled,[],,
suplemento,supl3m3nt0,['supl3m3nt0'],suplEmEntO,yes
orbiter,0rb1ter,['0rb1ter'],OrbIter,yes
olgle,0lgl3,['0lgl3'],OlglE,yes
enciphering,3nc1ph3r1ng,['3nc1ph3r1ng'],EncIphErIng,yes
disagreeable,d1s4gr33@ble,['d1s4gr33@ble'],dIsAgrEEAble,yes
rapists,r4pists,['r4pists'],rApists,yes
mcls,mcls,[],,
rvd,rvd,[],,
tji,tji,[],,
provides,pr0v1d3s,['pr0v1d3s'],prOvIdEs,yes
motortrader,m0t0rtr4d3r,['m0t0rtr4d3r'],mOtOrtrAdEr,yes
sacwis,s@cw1s,['s@cw1s'],sAcwIs,yes
alamieyeseigha,4lam13y3se1gh@,['4lam13y3se1gh@'],AlamIEyEseIghA,yes
vbw,vbw,[],,
obtain,0bta1n,['0bta1n'],ObtaIn,yes
bizarre,b1z@rre,['b1z@rre'],bIzArre,yes
advfn,@dvfn,['@dvfn'],Advfn,yes
rachmaninoff,r@chm@nin0ff,['r@chm@nin0ff'],rAchmAninOff,yes
malleus,mall3_s,['mall3_s'],mallETs,no
ebayca,3b@yc4,['3b@yc4'],EbAycA,yes
crossmolina,cr0ssm0l1n@,['cr0ssm0l1n@'],crOssmOlInA,yes
hopkinsville,hopkinsville,[],,
usareur,_s4r3_r,['_s4r3_r'],AsArEAr,no
harra,h4rr@,['h4rr@'],hArrY,no
mareschal,m@r3sch4l,['m@r3sch4l'],mArEschAl,yes
possessions,p0ssess10ns,['p0ssess10ns'],pOssessIOns,yes
laggan,l4gg4n,['l4gg4n'],lAggAn,yes
soulfly,so_lfly,['so_lfly'],solely,no
midden,m1dden,['m1dden'],mAdden,no
musicspace,m_sicsp4c3,['m_sicsp4c3'],mAsicspAcE,no
tonner,t0nn3r,['t0nn3r'],tAnnEr,no
brasserie,br@sser1e,['br@sser1e'],brAsserIe,yes
fxwindow,fxwind0w,['fxwind0w'],fxwindOw,yes
fetes,fetes,[],,
curricu,c_rr1c_,['c_rr1c_'],cArrIcA,no
feedreader,fe3dr3@d3r,['fe3dr3@d3r'],feEdrEAdEr,yes
nationalistic,n@ti0n@l1st1c,['n@ti0n@l1st1c'],nAtiOnAlIstIc,yes
avic,@vic,['@vic'],vic,no
roxanol,r0xan0l,['r0xan0l'],rOxanOl,yes
misinterpret,m1s1nterpret,['m1s1nterpret'],mIsInterpret,yes
biopharmaceutics,bi0ph@rm@c3_tics,[],,
dissuading,diss_@ding,['diss_@ding'],dissAAding,no
tagbilaran,t@gb1l@ran,['t@gb1l@ran'],tAgbIlAran,yes
aptus,@pt_s,['@pt_s'],opts,no
breu,br3_,['br3_'],brEA,no
wwwegreetingscom,wwwegreet1ngsc0m,[],,
czechia,cz3ch14,['cz3ch14'],czEchIA,yes
moistness,m01stn3ss,['m01stn3ss'],mOIstnEss,yes
tachometer,t4ch0m3t3r,['t4ch0m3t3r'],tAchOmEtEr,yes
nonorganic,n0n0rg4n1c,['n0n0rg4n1c'],nOnOrgAnIc,yes
portmarnock,portm4rnock,['portm4rnock'],portmArnock,yes
glimm,gl1mm,['gl1mm'],grimm,no
minnie,m1nn13,['m1nn13'],mInnIE,yes
beginnig,b3ginnig,['b3ginnig'],beginning,no
societatis,s0c13t4t1s,['s0c13t4t1s'],sOcIEtAtIs,yes
tolerate,t0l3rat3,['t0l3rat3'],tOlEratE,yes
nibbler,n1bbl3r,['n1bbl3r'],nIbblEr,yes
zouch,z0_ch,['z0_ch'],zILch,no
endquote,3ndq_0t3,['3ndq_0t3'],EndqAOtE,no
huntingtin,h_nt1ngt1n,['h_nt1ngt1n'],hAntIngtIn,no
reservieren,reservieren,[],,
wippit,w1pp1t,['w1pp1t'],wIppIt,yes
bandana,b4ndan@,['b4ndan@'],bAndanA,yes
oroonoko,or00n0ko,['or00n0ko'],orOOnOko,yes
niland,n1l4nd,['n1l4nd'],nIlAnd,yes
swingtime,swingtime,[],,
shyer,shyer,[],,
remmers,r3mm3rs,['r3mm3rs'],rEmmErs,yes
mythologie,myth0l0g1e,['myth0l0g1e'],mythOlOgIe,yes
sudhakar,sudh4k4r,['sudh4k4r'],sudhAkAr,yes
searcm,s3@rcm,['s3@rcm'],sEArcm,yes
aavid,44v1d,['44v1d'],AAvId,yes
nonliving,n0nl1v1ng,['n0nl1v1ng'],nOnlIvIng,yes
eearch,ee4rch,['ee4rch'],search,no
chizen,ch1z3n,['ch1z3n'],chIzEn,yes
grafpup,gr4fp_p,['gr4fp_p'],grAfpAp,no
modnr,m0dnr,['m0dnr'],mOdnr,yes
uusi,__si,['__si'],nest,no
harlow,h@rl0w,['h@rl0w'],hArlOw,yes
chauveau,ch@_v34_,['ch@_v34_'],chAAvEAA,no
nishi,n1sh1,['n1sh1'],nash,no
bookstop,b0okst0p,['b0okst0p'],bOokstOp,yes
localizes,l0c4l1z3s,['l0c4l1z3s'],lOcAlIzEs,yes
maday,m@d4y,['m@d4y'],mAdDy,no
stof,st0f,['st0f'],stUf,no
acres,@cr3s,['@cr3s'],AcrEs,yes
soloed,s0l03d,['s0l03d'],sOlOEd,yes
schwenke,schwenke,[],,
clubclearance,cl_bcle@r@nce,['cl_bcle@r@nce'],clAbcleArAnce,no
melissa,m3l1ss4,['m3l1ss4'],mElIssA,yes
tarrifs,t@rr1fs,['t@rr1fs'],tArrIfs,yes
adad,@d@d,['@d@d'],OdEd,no
esprit,espr1t,['espr1t'],esprIt,yes
cullimore,c_ll1m0r3,['c_ll1m0r3'],cAllImOrE,no
geeg,g33g,['g33g'],gang,no
raina,r@in4,['r@in4'],rAinA,yes
mcdormand,mcd0rm4nd,['mcd0rm4nd'],mcdOrmAnd,yes
attribs,4ttr1bs,['4ttr1bs'],AttrIbs,yes
patchkabel,p@tchk4b3l,['p@tchk4b3l'],pAtchkAbEl,yes
kasday,k4sd4y,['k4sd4y'],kAsdAy,yes
iapp,14pp,['14pp'],app,no
launcher,l4_nch3r,['l4_nch3r'],lAAnchEr,no
allouez,@ll0_3z,['@ll0_3z'],AllOAEz,no
sandworm,s@ndw0rm,['s@ndw0rm'],sAndwOrm,yes
vaart,vaart,[],,
linkable,l1nk@bl3,['l1nk@bl3'],lInkAblE,yes
saponin,s@p0n1n,['s@p0n1n'],sApOnIn,yes
ciliates,cili@tes,['cili@tes'],ciliAtes,yes
jondi,j0nd1,['j0nd1'],jOndI,yes
negley,n3gl3y,['n3gl3y'],nEglEy,yes
caneyville,caneyv1lle,['caneyv1lle'],caneyvIlle,yes
mamie,mam13,['mam13'],mamIE,yes
slinging,sl1ng1ng,['sl1ng1ng'],slIngIng,yes
sporty,sp0rty,['sp0rty'],spOrty,yes
clearline,cl3@rl1n3,['cl3@rl1n3'],clEArlInE,yes
nitish,nitish,[],,
salvatore,s@lv@t0re,['s@lv@t0re'],sAlvAtOre,yes
earns,3@rns,['3@rns'],EArns,yes
bws,bws,[],,
biosensor,b10s3ns0r,['b10s3ns0r'],bIOsEnsOr,yes
politte,p0l1tt3,['p0l1tt3'],pOlIttE,yes
bpo,bp0,['bp0'],bro,no
nbh,nbh,[],,
madona,m@d0n4,['m@d0n4'],mAdOnA,yes
herberg,h3rb3rg,['h3rb3rg'],hErbErg,yes
arcadio,@rc@d10,['@rc@d10'],ArcAdIO,yes
ektomorf,3kt0m0rf,['3kt0m0rf'],EktOmOrf,yes
cvpr,cvpr,[],,
gruppe,gruppe,[],,
tthe,tthe,[],,
ferebee,f3r3be3,['f3r3be3'],fErEbeE,yes
truthvalue,truthv@lu3,['truthv@lu3'],truthvAluE,yes
borescopes,b0r3sc0p3s,['b0r3sc0p3s'],bOrEscOpEs,yes
alwayz,4lw4yz,['4lw4yz'],AlwAyz,yes
settingtimeofpointing,s3tt1ngt1m3ofpoint1ng,[],,
undergear,_nd3rg3@r,['_nd3rg3@r'],AndErgEAr,no
orangered,0r4ng3r3d,['0r4ng3r3d'],OrAngErEd,yes
ejaculating,ejac_lat1ng,['ejac_lat1ng'],ejacUlatIng,yes
doanloads,d04nl04ds,['d04nl04ds'],dOAnlOAds,yes
ibistro,1b1stro,['1b1stro'],bistro,no
orderphentermine,0rderphenterm1ne,[],,
asepsis,@s3ps1s,['@s3ps1s'],AsEpsIs,yes
efmi,3fm1,['3fm1'],ofmy,no
lecting,l3ct1ng,['l3ct1ng'],lEctIng,yes
spacing,sp@c1ng,['sp@c1ng'],spAcIng,yes
okami,okam1,['okam1'],obama,no
volkssport,volkssport,[],,
expedients,3xp3d1ents,['3xp3d1ents'],ExpEdIents,yes
krueger,kru3g3r,['kru3g3r'],kruEgEr,yes
wwwrealcom,wwwr3@lcom,['wwwr3@lcom'],wwwrEAlcom,yes
cpue,cp_3,['cp_3'],cpu,no
scottville,sc0ttv1ll3,['sc0ttv1ll3'],scOttvIllE,yes
dexs,dexs,[],,
snubbing,snubb1ng,['snubb1ng'],snubbing,yes
castellon,c4stell0n,['c4stell0n'],castellan,no
nicey,n1c3y,['n1c3y'],nIcKy,no
magicpoint,m4g1cp01nt,['m4g1cp01nt'],mAgIcpOInt,yes
repossession,r3poss3ss1on,['r3poss3ss1on'],rEpossEssIon,yes
manji,m4nj1,['m4nj1'],mAnjI,yes
courgette,c0_rg3tt3,['c0_rg3tt3'],cOArgEttE,no
defnyddiol,d3fnydd10l,['d3fnydd10l'],dEfnyddIOl,yes
bazalgette,b@z@lgette,['b@z@lgette'],bAzAlgette,yes
ficult,f1c_lt,['f1c_lt'],fIcAlt,no
whereby,wh3r3by,['wh3r3by'],whErEby,yes
stainmaster,st@inm4st3r,['st@inm4st3r'],stAinmAstEr,yes
syde,syde,[],,
gdna,gdn4,['gdn4'],dna,no
stau,st@_,['st@_'],stAT,no
sbia,sb14,['sb14'],sbIA,yes
planada,plan@d4,['plan@d4'],planAdA,yes
chuou,ch_0_,['ch_0_'],chAOA,no
preser,pr3s3r,['pr3s3r'],prEsEr,yes
edelg,3d3lg,['3d3lg'],EdElg,yes
downplays,d0wnpl4ys,['d0wnpl4ys'],dOwnplAys,yes
higley,h1gl3y,['h1gl3y'],hIglEy,yes
thome,th0m3,['th0m3'],thEmE,no
sndobj,snd0bj,['snd0bj'],sndObj,yes
capiutils,c4p1_t1ls,['c4p1_t1ls'],cApIAtIls,no
avins,@v1ns,['@v1ns'],vans,no
stride,str1d3,['str1d3'],strIdE,yes
acommodations,4commod4tions,['4commod4tions'],AcommodAtions,yes
vaccin,vacc1n,['vacc1n'],vaccine,no
calgarians,calg4ri@ns,['calg4ri@ns'],calgAriAns,yes
brandy,br4ndy,['br4ndy'],brAndy,yes
fahnestock,fahn3st0ck,['fahn3st0ck'],fahnEstOck,yes
harvy,h4rvy,['h4rvy'],harry,no
nanostructured,nan0str_ct_r3d,['nan0str_ct_r3d'],nanOstrActArEd,no
cummz,cummz,[],,
haveagreatholiday,hav3@gr3@th0l1d@y,[],,
footlockercom,f0otl0ck3rc0m,['f0otl0ck3rc0m'],fOotlOckErcOm,yes
neonate,n30n4t3,['n30n4t3'],nEOnAtE,yes
recursivedirectoryiterator,rec_rsiv3dir3ct0ryit3rat0r,[],,
darkslave,d@rksl4v3,['d@rksl4v3'],dArkslAvE,yes
quedarme,qu3d4rm3,['qu3d4rm3'],quEdArmE,yes
pronographic,pr0n0gr4phic,['pr0n0gr4phic'],prOnOgrAphic,yes
ladder,l@dder,['l@dder'],lAdder,yes
println,pr1ntln,['pr1ntln'],prIntln,yes
fima,f1m4,['f1m4'],mama,no
redbreast,r3dbr3@st,['r3dbr3@st'],rEdbrEAst,yes
anuncie,4n_nc13,['4n_nc13'],AnAncIE,no
sakuraba,s@k_rab@,['s@k_rab@'],sAkArabA,no
crucificados,cruc1f1c@d0s,['cruc1f1c@d0s'],crucIfIcAdOs,yes
soltek,s0lt3k,['s0lt3k'],sOltEk,yes
ferplast,f3rpl4st,['f3rpl4st'],fErplAst,yes
erotjc,3rotjc,['3rotjc'],erotic,no
enjoyments,enj0yments,['enj0yments'],enjoyment,no
intimating,1nt1mating,['1nt1mating'],intimating,yes
trueview,tru3v13w,['tru3v13w'],truEvIEw,yes
bratsk,br4tsk,['br4tsk'],brats,no
anniyan,@nn1y@n,['@nn1y@n'],AnnIyAn,yes
kjell,kjell,[],,
moritz,m0r1tz,['m0r1tz'],mOrItz,yes
kartoniert,k4rt0n13rt,['k4rt0n13rt'],kArtOnIErt,yes
drooping,dr00p1ng,['dr00p1ng'],drOOpIng,yes
marcussen,m@rc_ssen,['m@rc_ssen'],mArcAssen,no
maslowski,m4sl0wski,['m4sl0wski'],mAslOwski,yes
raup,ra_p,['ra_p'],raSp,no
kersplebedeb,kersplebedeb,[],,
bilder,b1ld3r,['b1ld3r'],bOldEr,no
reverberated,r3verb3r@t3d,['r3verb3r@t3d'],rEverbErAtEd,yes
computefs,comp_t3fs,['comp_t3fs'],compAtEfs,no
stabbing,st4bbing,['st4bbing'],stAbbing,yes
serger,s3rg3r,['s3rg3r'],sErgEr,yes
senorita,s3n0rit@,['s3n0rit@'],sEnOritA,yes
dpc,dpc,[],,
facetiously,f@c3ti0_sly,['f@c3ti0_sly'],fAcEtiOAsly,no
dehai,d3h@1,['d3h@1'],dEhAI,yes
gnostic,gn0st1c,['gn0st1c'],gnOstIc,yes
armesto,@rm3st0,['@rm3st0'],ArmEstO,yes
biegler,bi3gl3r,['bi3gl3r'],biEglEr,yes
amzon,4mz0n,['4mz0n'],AmzOn,yes
marquise,marq_1s3,['marq_1s3'],marqAIsE,no
aroclors,ar0cl0rs,['ar0cl0rs'],arOclOrs,yes
southgate,s0_thgate,['s0_thgate'],sOAthgate,no
plaboy,pl4b0y,['pl4b0y'],plAbOy,yes
orlicz,orl1cz,['orl1cz'],orlIcz,yes
garmin,g@rm1n,['g@rm1n'],gErmAn,no
necesitan,necesit@n,['necesit@n'],necesita,no
crittendon,cr1ttend0n,['cr1ttend0n'],crIttendOn,yes
melodic,m3l0d1c,['m3l0d1c'],mElOdIc,yes
francaistelecharger,fr@nca1st3l3ch4rger,[],,
oorn,oorn,[],,
ircchat,1rcch@t,['1rcch@t'],IrcchAt,yes
racing,racing,[],,
programmin,pr0gr4mm1n,['pr0gr4mm1n'],prOgrAmmIn,yes
freecreditcard,freecreditc4rd,['freecreditc4rd'],freecreditcArd,yes
couldst,c0_ldst,['c0_ldst'],couldst,yes
gyros,gyr0s,['gyr0s'],gyrOs,yes
promotional,pr0mot10n@l,['pr0mot10n@l'],prOmotIOnAl,yes
sarne,s@rn3,['s@rn3'],sArnE,yes
possibles,p0ss1bles,['p0ss1bles'],possibles,yes
aalbc,@@lbc,['@@lbc'],AAlbc,yes
equina,3q_1n@,['3q_1n@'],EqAInA,no
immiscible,immiscibl3,['immiscibl3'],immisciblE,yes
bless,bl3ss,['bl3ss'],blEss,yes
shoehorned,sh03h0rn3d,['sh03h0rn3d'],shOEhOrnEd,yes
biopharmaceuticals,b10ph@rm@c3_t1cals,[],,
trnascan,trnascan,[],,
handes,hand3s,['hand3s'],hands,no
wwwbioniclecom,wwwb10n1cl3c0m,['wwwb10n1cl3c0m'],wwwbIOnIclEcOm,yes
plo,pl0,['pl0'],plA,no
tods,t0ds,['t0ds'],gods,no
fpcsrc,fpcsrc,[],,
anaerobiosis,4n@3rob1os1s,['4n@3rob1os1s'],AnAErobIosIs,yes
wintasks,wint@sks,['wint@sks'],wintAsks,yes
repodata,r3p0d4t4,['r3p0d4t4'],rEpOdAtA,yes
cottonwood,c0tt0nwo0d,['c0tt0nwo0d'],cOttOnwoOd,yes
chophouse,ch0ph0_s3,['ch0ph0_s3'],chOphOAsE,no
libxkbfile,l1bxkbf1l3,['l1bxkbf1l3'],lIbxkbfIlE,yes
tallship,tallsh1p,['tallsh1p'],tallshIp,yes
bereave,b3r3@ve,['b3r3@ve'],bErEAve,yes
stramonium,str4m0n1_m,['str4m0n1_m'],strAmOnIAm,no
wtkr,wtkr,[],,
thoren,th0r3n,['th0r3n'],thorn,no
hbcu,hbc_,['hbc_'],hace,no
lenihan,l3n1h4n,['l3n1h4n'],lEnIhAn,yes
barbaro,b4rb4r0,['b4rb4r0'],bArbArO,yes
msgfmt,msgfmt,[],,
cruisers,cru1s3rs,['cru1s3rs'],cruIsErs,yes
referenda,referenda,[],,
skydivers,skyd1v3rs,['skyd1v3rs'],skydivers,yes
winnington,w1nn1ngton,['w1nn1ngton'],wInnIngton,yes
ashcraft,4shcr@ft,['4shcr@ft'],AshcrAft,yes
isactive,1s4ct1v3,['1s4ct1v3'],IsActIvE,yes
idyllic,1dyll1c,['1dyll1c'],IdyllIc,yes
apparatus,4pp4rat_s,['4pp4rat_s'],AppAratAs,no
statesmanship,st@t3sm4nsh1p,['st@t3sm4nsh1p'],stAtEsmAnshIp,yes
proudman,pr0_dm@n,['pr0_dm@n'],prOAdmAn,no
unlv,_nlv,['_nlv'],onlv,no
pecorino,p3c0r1n0,['p3c0r1n0'],pEcOrInO,yes
celastraceae,c3l@strace@3,['c3l@strace@3'],cElAstraceAE,yes
maitre,m@itr3,['m@itr3'],mAitrE,yes
relief,r3li3f,['r3li3f'],rEliEf,yes
marketwire,m4rk3tw1r3,['m4rk3tw1r3'],mArkEtwIrE,yes
horbury,horbury,[],,
terim,ter1m,['ter1m'],term,no
fir,f1r,['f1r'],fIr,yes
edes,3d3s,['3d3s'],ages,no
crackserver,cr@cks3rv3r,['cr@cks3rv3r'],crAcksErvEr,yes
screaming,scr34m1ng,['scr34m1ng'],scrEAmIng,yes
crucially,cr_c1ally,['cr_c1ally'],crUcIally,yes
jackalberry,j@ck@lberry,['j@ck@lberry'],jAckAlberry,yes
commentspamming,comm3ntspamm1ng,['comm3ntspamm1ng'],commEntspammIng,yes
mayaguez,m@y@g_3z,['m@y@g_3z'],mAyAgAEz,no
nizoral,n1z0r4l,['n1z0r4l'],nIzOrAl,yes
efficiency,3ff1c13ncy,['3ff1c13ncy'],EffIcIEncy,yes
installments,1nstallments,['1nstallments'],Installments,yes
psychedelics,psychedelics,[],,
putaria,p_t4r14,['p_t4r14'],pAtArIA,no
faritec,f@r1tec,['f@r1tec'],fArItec,yes
infirmities,1nf1rm1ti3s,['1nf1rm1ti3s'],InfIrmItiEs,yes
ippd,1ppd,['1ppd'],ipod,no
everage,ev3r@g3,['ev3r@g3'],evErAgE,yes
calcs,c4lcs,['c4lcs'],calls,no
purely,p_r3ly,['p_r3ly'],barely,no
aloo,@l00,['@l00'],AlOO,yes
robertj,r0b3rtj,['r0b3rtj'],rObErtj,yes
illi,1ll1,['1ll1'],ill,no
wingtip,w1ngt1p,['w1ngt1p'],wingtip,yes
thursdays,thursd@ys,['thursd@ys'],thursdAys,yes
timaeus,t1ma3_s,['t1ma3_s'],tImaEAs,no
paloma,p4lom4,['p4lom4'],pAlomA,yes
setignorerepaint,set1gn0rerep41nt,[],,
shunyadragon,sh_ny4dr@g0n,['sh_ny4dr@g0n'],shAnyAdrAgOn,no
alarie,4l@r13,['4l@r13'],AlArIE,yes
mlssoccer,mlss0cc3r,['mlss0cc3r'],mlssOccEr,yes
gboole,gb00l3,['gb00l3'],gbOOlE,yes
transmat,tr@nsm4t,['tr@nsm4t'],trAnsmIt,no
blurr,bl_rr,['bl_rr'],blair,no
fz,fz,[],,
voq,v0q,['v0q'],vow,no
appertaining,app3rta1n1ng,['app3rta1n1ng'],appErtaInIng,yes
nymity,nym1ty,['nym1ty'],nymIty,yes
